Time ,Total,Hydrophobic,Hydrophilic
0,717.63,268.587,260.601
700,672.379,261.256,243.849
1400,621.084,247.644,228.135
2100,581.423,231.129,215.117
2800,561.174,228.106,205.845
3500,566.917,225.404,212.532
4200,539.579,214.624,201.493
4900,523.568,207.081,200.792
5600,523.387,209.614,204.286
6300,503.792,204.896,201.543
7000,497.515,208.347,193.053
7700,476.845,199.7,183.354
8400,452.12,185.757,175.093
9100,451.157,184.215,178.33
9800,449.157,183.861,180.667
10500,420.898,173.863,170.904
11200,429.211,183.664,168.258
11900,421.691,173.361,169.562
12600,410.34,173.493,163.239
13300,410.876,175.219,162.878
14000,402.439,169.705,161.651
14700,409.901,176.092,160.863
15400,401.109,172.191,157.772
16100,395.954,170.224,155.699
16800,407.138,175.008,158.779
17500,392.076,165.812,153.973
18200,394.972,167.565,155.765
18900,392.975,166.948,160.845
19600,374.885,159.972,152.307
20300,385.987,167.283,155.284
21000,371.734,157.984,152.51
21700,371.503,159.719,147.924
22400,361.199,151.733,148.212
23100,361.083,151.032,144.707
23800,356.525,146.91,147.93
24500,349.857,146.394,144.207
25200,334.339,138.448,136.445
25900,336.161,142.446,139.242
26600,337.896,142.427,136.573
27300,338.837,145.199,130.416
28000,326.086,137.987,132.736
28700,322.703,137.762,128.531
29400,318.44,136.304,128.746
30100,322.895,136.889,134.992
30800,322.321,138.68,132.794
31500,324.268,142.777,134.22
32200,321.771,144.14,132.908
32900,325.792,140.605,135.095
33600,327.578,138.323,138.324
34300,325.428,141.62,134.104
35000,329.53,142.137,139.575
35700,332.681,143.383,137.972
36400,328.289,139.718,138.385
37100,327.383,141.274,135.518
37800,328.801,145.692,135.733
38500,312.021,136.432,130.028
39200,310.439,133.198,129.116
39900,315.47,138.81,130.811
40600,312.423,133.794,131.585
41300,312.193,137.031,129.131
42000,310.903,131.18,133.641
42700,303.722,131.373,129.674
43400,321.131,141.09,133.872
44100,313.159,137.207,129.813
44800,316.134,137.184,136.163
45500,315.945,138.769,131.123
46200,318.04,138.825,131.693
46900,320.448,138.46,131.977
47600,304.876,131.699,128.861
48300,317.286,135.46,133.429
49000,302.681,130.68,127.866
49700,309.935,132.062,131.344
50400,302.509,126.653,125.16
51100,307.78,135.085,127.276
51800,309.606,133.012,127.489
52500,305.518,132.62,126.821
53200,308.221,130.657,132.222
53900,302.716,131.124,126.345
54600,307.101,134.046,127.959
55300,311.883,138.386,126.75
56000,302.68,133.105,127.446
56700,312.229,137.798,129.265
57400,315.228,138.076,129.989
58100,314.074,134.566,131.634
58800,315.94,136.657,130.988
59500,319.906,142.944,132.815
60200,316.799,139.339,130.877
60900,319.703,142.138,132.349
61600,321.9,140.079,134.739
62300,314.403,139.318,134.093
63000,307.382,133.989,131.068
63700,311.345,135.48,131.331
64400,312.956,137.587,132.73
65100,324.985,140.36,135.161
65800,323.146,138.419,137.495
66500,317.915,139.666,131.596
67200,324.987,140.747,134.805
67900,320.876,139.577,132.356
68600,314.33,136.012,131.598
69300,307.184,135.353,129.441
70000,310.394,134.19,134.032
70700,313.826,136.499,132.019
71400,312.876,134.947,134.302
72100,312.518,135.529,131.953
72800,301.851,130.541,128.227
73500,309.482,133.457,129.195
74200,316.953,136.668,136.078
74900,316.895,137.768,134.775
75600,315.394,136.811,132.92
76300,308.555,133.105,131.373
77000,307.139,137.041,126.577
77700,308.705,137.952,130.046
78400,315.805,136.734,135.717
79100,316.199,135.617,134.639
79800,308.369,133.686,129.705
80500,305.004,133.236,129.366
81200,308.081,137.8,128.034
81900,308.372,137.697,129.386
82600,302.391,132.847,130.741
83300,312.391,137.319,132.714
84000,305.575,137.252,126.583
84700,303.408,133.279,127.352
85400,296.072,131.853,120.968
86100,298.598,134.923,122.207
86800,301.865,134.975,124.216
87500,309.499,138.652,129.539
88200,307.816,137.553,125.989
88900,305.91,137.592,127.187
89600,301.97,134.779,122.738
90300,301.569,133.69,123.958
91000,312.177,137.751,130.673
91700,301.735,135.055,125.152
92400,298.938,130.677,124.776
93100,304.131,133.918,125.485
93800,290.137,129.831,119.219
94500,297.139,128.857,126.188
95200,286.65,126.608,120.362
95900,285.201,128.43,119.516
96600,294.638,129.367,123.387
97300,294.961,129.342,123.928
98000,291.693,129.167,120.981
98700,296.169,129.842,122.877
99400,292.17,128.843,122.537
100100,295.02,128.06,124.668
100800,293.365,128.087,122.671
101500,289.519,126.018,121.459
102200,287.33,126.92,121.778
102900,296.796,128.469,127.047
103600,288.838,125.176,125.386
104300,291.003,128.25,124.714
105000,290.07,126.689,123.916
105700,291.696,129.043,123.958
106400,301.333,129.783,126.436
107100,287.39,121.942,124.126
107800,290.964,126.639,123.904
108500,289.372,123.974,124.28
109200,286.718,126.451,118.605
109900,284.103,122.281,120.416
110600,284.153,122.836,119.523
111300,289.541,129.083,120.604
112000,287.329,126.192,120.204
112700,304.459,132.765,127.672
113400,298.413,129.748,122.719
114100,294.364,128.925,123.222
114800,299.809,129.71,128.654
115500,300.738,131.045,124.141
116200,302.221,129.939,125.472
116900,298.644,130.685,125.036
117600,292.057,130.144,121.37
118300,290.884,128.74,119.744
119000,297.235,132.089,120.83
119700,294.132,127.505,126.746
120400,301.262,132.484,128.079
121100,298.677,133.152,126.243
121800,299.292,133.04,126.702
122500,294.3,130.444,126.082
123200,293.263,130.263,124.485
123900,294.548,131.121,126.18
124600,290.49,133.442,120.693
125300,304.781,138.536,128.955
126000,314.586,142.634,131.363
126700,302.08,135.979,127.532
127400,302.557,135.366,128.082
128100,302.182,134.691,126.357
128800,296.616,131.513,123.178
129500,298.406,134.28,122.397
130200,292.734,128.775,119.336
130900,292.328,130.083,121.406
131600,282.282,123.116,117.441
132300,286.233,126.902,119.867
133000,281.251,125.888,117.926
133700,285.322,129.667,115.198
134400,285.951,128.875,118.529
135100,292.253,131.702,120.042
135800,286.64,126.772,119.49
136500,287.452,129.815,116.151
137200,285.615,128.523,117.562
137900,283.221,125.532,119.497
138600,278.68,121.944,117.089
139300,276.699,119.851,118.643
140000,292.513,127.883,121.638
140700,279.784,122.163,117.711
141400,283.269,125.242,117.616
142100,278.679,122.499,115.451
142800,278.526,122.232,113.965
143500,277.131,119.293,118.653
144200,280.179,121.143,117.513
144900,274.886,119.945,114.322
145600,274.489,120.335,114.465
146300,272.353,120.508,112.507
147000,276.536,124.042,112.972
147700,270.063,120.574,110.862
148400,271.856,119.614,115.414
149100,274.315,122.488,112.421
149800,273.429,121.48,115.17
150500,273.448,119.746,111.945
151200,273.19,120.209,114.869
151900,277.611,121.467,116.632
152600,276.224,121.323,115.094
153300,275.012,123.053,114.968
154000,273.158,119.641,116.823
154700,275.648,118.864,118.065
155400,272.88,118.041,113.902
156100,271.808,116.675,115.38
156800,270.582,116.373,114.052
157500,265.637,113.726,112.04
158200,272.428,115.042,114.119
158900,276.116,116.455,117.862
159600,276.461,115.962,116.765
160300,276.381,118.966,115.174
161000,277.82,121.097,116.6
161700,270.609,118.855,111.366
162400,271.603,117.797,114.668
163100,280.553,124.589,114.403
163800,280.983,124.433,117.943
164500,276.584,122.309,116.547
165200,282.017,125.094,116.163
165900,285.629,124.338,119.672
166600,281.675,126.502,116.393
167300,281.779,123.049,118.704
168000,278.805,122.803,117.686
168700,286.591,127.65,119.667
169400,281.763,120.227,118.283
170100,275.816,120.999,114.826
170800,278.782,124.374,115.399
171500,278.733,121.431,115.41
172200,284.572,122.052,120.284
172900,277.565,121.109,114.723
173600,279.482,121.622,118.398
174300,277.106,118.676,118.733
175000,282.371,123.549,118.207
175700,279.782,123.472,116.152
176400,277.459,124.413,112.731
177100,274.336,122.452,113.022
177800,280.217,126.554,114.741
178500,275.036,123.51,113.648
179200,283.033,127.257,113.794
179900,279.263,126.074,116.05
180600,279.738,124.423,113.463
181300,286.332,126.893,120.893
182000,284.956,127.513,116.412
182700,279.655,124.217,112.647
183400,281.557,124.579,115.428
184100,273.87,119.366,114.024
184800,280.808,121.325,117.228
185500,277.647,120.774,115.946
186200,283.029,121.563,121.187
186900,281.439,121.924,117.566
187600,277.429,121.921,115.355
188300,276.927,120.482,115.369
189000,278.259,120.228,118.79
189700,280.406,121.507,120.315
190400,276.718,120.387,118.671
191100,283.32,124.524,119.61
191800,280.126,125.628,117.386
192500,285.087,122.759,120.856
193200,272.637,119.631,114.434
193900,286.22,127.926,117.889
194600,284.022,126.394,118.63
195300,284.721,128.014,117.751
196000,282.215,127.637,116.524
196700,276.008,123.538,115.319
197400,280.108,122.479,118.168
198100,276.935,124.541,115.282
198800,285.345,125.846,119.761
199500,290.413,128.552,123.715
200200,292.6,126.411,125.844
200900,281.462,121.084,121.503
201600,272.709,119.773,115.303
202300,288.495,131.774,118.772
203000,287.497,125.802,122.131
203700,283.791,124.029,121.097
204400,282.107,122.188,122.106
205100,290.584,126.465,127.273
205800,283.253,124.199,122.235
206500,283.297,126.936,118.182
207200,280.195,124.818,119.499
207900,289.862,127.964,124.64
208600,287.483,127.3,123.021
209300,280.214,123.072,121.073
210000,280.248,121.327,122.561
210700,279.38,123.657,120.789
211400,278.586,119.416,121.036
212100,288.566,126.698,123.088
212800,284.128,123.863,121.852
213500,283.236,123.44,118.948
214200,282.998,122.111,122.973
214900,277.664,118.852,122.073
215600,279.384,120.779,124.114
216300,281.97,119.917,123.378
217000,291.742,127.601,128.047
217700,289.976,128.777,123.211
218400,286.363,124.946,124.589
219100,280.174,122.662,120.891
219800,289.93,126.557,124.506
220500,287.527,123.782,124.898
221200,286.783,125.872,121.873
221900,292.929,128.312,122.992
222600,289.93,129.435,122.856
223300,287.594,126.551,120.738
224000,289.822,129.919,121.445
224700,286.38,126.705,122.17
225400,287.212,126.33,122.528
226100,282.973,124.195,122.277
226800,276.741,122.067,117.196
227500,282.104,125.186,120.73
228200,287.331,127.748,120
228900,281.392,124.845,117.585
229600,280.379,126.687,120.115
230300,279.403,122.905,121.248
231000,285.154,125.531,125.522
231700,283.624,125.501,122.755
232400,283.344,123.797,124.818
233100,286.577,127.904,124.135
233800,280.922,125.55,119.313
234500,278.863,122.476,122.943
235200,276.637,121.644,120.319
235900,281.378,128.009,118.292
236600,279.267,123.05,117.838
237300,279.943,124.222,119.133
238000,290.866,128.601,125.626
238700,286.309,127.266,123.218
239400,282.22,126.599,121.748
240100,279.802,125.691,120.23
240800,280.889,125.615,119.735
241500,282.562,126.158,122.677
242200,276.367,125.4,118.063
242900,276.254,127.821,116.203
