Time (ps),P1_RMSD,P2_RMSD,P3_Time,P3_RMSD,P4_Time,P4_RMSD,P5_Time,P5_RMSD
0,4.600843,4.1558671,0,3.4682972,0,3.3369184,0,2.8001761
700,4.6016645,4.0073471,600,4.9214416,600,4.2785044,1000,3.2293847
1400,5.3850431,4.4097986,1200,5.3856988,1200,4.6727548,2000,3.0306988
2100,5.7783103,4.4720769,1800,5.3832169,1800,5.4387684,3000,4.1419821
2800,5.5586624,4.6627517,2400,5.2147408,2400,4.8352551,4000,4.3914618
3500,5.8846021,4.7368245,3000,5.2781019,3000,5.6044564,5000,3.8144758
4200,6.1815362,4.9099154,3600,5.419888,3600,5.8770237,6000,4.6020975
4900,5.8207417,5.0112643,4200,5.438355,4200,5.8856392,7000,4.0691247
5600,6.4072323,4.9703574,4800,5.8354836,4800,5.5407615,8000,4.6016254
6300,5.9510126,4.442688,5400,5.1184716,5400,6.0402083,9000,4.2778845
7000,6.1841946,4.8266253,6000,5.4174657,6000,6.3567514,10000,4.7697806
7700,6.2230101,5.4005508,6600,5.6911139,6600,6.5537748,11000,4.8188219
8400,6.063252,4.9375844,7200,6.0656013,7200,6.1525817,12000,4.5794301
9100,6.0893536,5.0148134,7800,5.5574579,7800,5.9641466,13000,4.951251
9800,6.1095314,4.7469034,8400,6.1162996,8400,5.9284887,14000,5.4753909
10500,5.8513775,5.0300088,9000,5.8263903,9000,5.9670763,15000,5.4534392
11200,6.1954727,5.1768193,9600,5.5289555,9600,6.3330002,16000,5.6856513
11900,6.5848479,5.4293151,10200,5.5053692,10200,5.7451982,17000,5.668766
12600,6.2691216,5.4926043,10800,5.5687685,10800,5.8467665,18000,5.1314964
13300,6.4630728,5.6564012,11400,5.5493073,11400,5.8372326,19000,4.8404956
14000,6.2925191,5.770648,12000,5.6550903,12000,6.044107,20000,4.9032598
14700,6.2236428,5.7260261,12600,5.7785673,12600,6.0375781,21000,4.5484667
15400,6.2787538,5.5583725,13200,5.6207819,13200,6.2581468,22000,4.9126854
16100,6.3116736,4.9842014,13800,5.5333171,13800,6.2360082,23000,3.7022274
16800,6.1987481,5.1890535,14400,5.6668649,14400,6.1843514,24000,3.329453
